cc,ASN,AS Name,DNSSEC Validates,Uses Google PDNS,Samples
TZ,AS37592,GapcoTZ-ASN,0,0,3
AO,AS37593,Infrasat,0,0,40
SS,AS37594,MTN,0.0205,0.1236,1416
ZA,AS37596,WIPRONET,0.2663,0.4887,706
ZA,AS37599,TERACO,0,0,9
AO,AS37603,GameZone-AS,0,0,24
BW,AS37604,Zebranet-AS,0.2911,0.9802,505
NG,AS37605,GTNL1-AS,0.2024,0.5385,494
MG,AS37608,iRENALA-AS,0.3333,0.0643,249
CD,AS37609,ROKETELKOM-AS,0,0,24
ZA,AS37611,Afrihost,0.1826,0.2563,13623
GN,AS37612,Areeba-Guinea-AS,0.0156,0.0659,7643
GH,AS37613,Dolphin-Telecom-AS,0.2289,0.3333,249
NG,AS37613,Dolphin-Telecom-AS,0.4533,0.6533,75
GA,AS37616,Airtel,0.085,0.9967,7244
ZA,AS37618,Telemedia-AS,0,0,22
CM,AS37620,VIETTEL-CM-AS,0.008,0.0154,12768
MU,AS37622,MTML-AS,0.887,0.9979,4337
GH,AS37623,SURFLINEGHANAAS,0.0243,0.6844,14251
ZA,AS37627,Equation-Business-AS,0,0,15
ZA,AS37628,KAB-Tech-AS,0,0,35
NG,AS37629,eStreamNetworks-AS,0.3393,0.7232,672
ZA,AS37630,EY-JHB-AS,0,0,5
ZA,AS37634,ITEC-COMMS,0.4026,0.5844,77
NG,AS37637,Smile-Nigeria-AS,0.0309,0.669,25969
CD,AS37638,Orioncom,0.4207,0.8708,271
ZA,AS37640,CAPE-CONNECT-AS,0.0842,0.9263,95
LS,AS37642,Comnet-Lesotho-AS,0.1235,0.5802,81
NG,AS37643,Ambion-AS,0.1004,0.7229,249
AO,AS37645,ZAP-Angola,0.0328,0.0561,8946
GH,AS37647,BlueCloud-AS,0.5205,0.7131,732
SN,AS37649,Tigo,0.8817,0.9494,8583
ZA,AS37650,CM-Value-AS,0,0,40
ZA,AS37652,AS37652,0.1356,0.2712,118
ZA,AS37653,Pink-Squirrel-AS,0.3684,0.7544,57
RW,AS37654,RwEdNet-AS,0.0278,0.1969,828
ZA,AS37658,Marion-Technology,0,0,6
NG,AS37660,Premierlotto-AS,0,0.3243,148
NG,AS37661,NRaE1-AS,0.204,0.4983,907
DJ,AS37662,WIOCC-AS,0,0,
SO,AS37662,WIOCC-AS,0.9294,0.9948,3666
ZA,AS37662,WIOCC-AS,0,0,25
KE,AS37662,WIOCC-AS,0,0,10
YT,AS37662,WIOCC-AS,0.9443,0.9873,395
EG,AS37664,RayaCC,0,0,9
GN,AS37665,MouNa,0.1797,0.3817,807
GA,AS37669,IG-AS,0,0,33
ZA,AS37670,SMART-AS,0,0,44
TN,AS37671,GLOBALNET-AS,0.0738,0.3317,34878
CM,AS37672,Vodacom,0.3276,0.5086,116
NG,AS37672,Vodacom,0,0,26
ZA,AS37673,Telemasters,0.1379,0.3793,58
MU,AS37674,Millenium,0,0,18
ZA,AS37675,Sky-Connect-ASN,0.689,0.9207,164
CD,AS37677,SCPT,0.791,0.8955,67
BW,AS37678,BOFINET,0.3079,0.5101,1627
UG,AS37679,URA1,0.9057,1,53
ZA,AS37680,COOL-IDEAS,0.0853,0.1574,1969
NG,AS37682,TIZETI-AS,0.9425,0.9964,2521
UG,AS37683,CRDB1-AS,0,0,4
KE,AS37684,ANGANI-AS,0,0,30
NG,AS37686,ABUZ1-AS,0.0123,0.7119,486
NG,AS37688,BCNL1-AS,0.3091,0.4555,1236
GH,AS37690,BLUTELECOM-AS,0.9825,0.0643,342
ZA,AS37692,NetStack-AS,0.5991,0.6414,449
GH,AS37692,NetStack-AS,0,0,1
MU,AS37692,NetStack-AS,0,0,41
TN,AS37693,TUNISIANA,0.015,0.0445,280414
MZ,AS37697,webmasters,0.6974,0.7237,152
TN,AS37705,TOPNET,0.0406,0.2715,211674
MU,AS37705,TOPNET,0.0209,0.3164,335
MU,AS37708,AFRINIC-MAIN,0,0,17
TN,AS37709,Cloud-Temple,0,0,
BW,AS37711,SeaBreeze,0.4815,0.8765,81
MW,AS37712,Malswitch,0,0,22
NG,AS37714,BITFLUX,0.5579,0.8947,475
LY,AS39356,AVANTI-UK-AS,0.2817,0.4507,71
KE,AS39356,AVANTI-UK-AS,0,0,40
TZ,AS39356,AVANTI-UK-AS,0,0,7
NA,AS39356,AVANTI-UK-AS,0,0,6
ZA,AS39832,NO-OPERA,0.9714,0,140
ZA,AS40676,AS40676 - Psychz Networks,0.3293,0.2439,82
GH,AS41264,GOOGLE-IT-RO-ISP,0.9559,1,1248
MZ,AS42235,IDC-AS Intra Data Communication,0.1228,0.6875,464
CD,AS43076,LU-AS,0,0,7
ZA,AS43256,KIN-AS,0,0,1
CD,AS43256,KIN-AS,0.13,0.0448,223
ZA,AS44444,FORCEPOINT-CLOUD-AS,0.0154,0.2,65
ZA,AS4809,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network,0.1744,0.6228,281
ZA,AS49362,DSV,0,0,22
RE,AS49902,SRR-AS,0.0241,0.0312,4651
YT,AS49902,SRR-AS,0.084,0.0916,131
RE,AS51110,IDOMTECHNOLOGIES-AS,0.1455,0.6545,55
MU,AS51110,IDOMTECHNOLOGIES-AS,0,0,15
ZA,AS51964,ORANGE-BUSINESS-SERVICES-IPSN-ASN,0,0,16
EG,AS51964,ORANGE-BUSINESS-SERVICES-IPSN-ASN,0,0,1
MA,AS51964,ORANGE-BUSINESS-SERVICES-IPSN-ASN,0,0,1
ZA,AS53889,"MICFO - Micfo, LLC.",0,0,8
TN,AS5438,ATI-,0.8933,0.9166,93078
ZA,AS55933,CLOUDIE-AS-AP Cloudie Limited,0,0,1
ZW,AS56696,ASLIQUID-MPLS,0.0812,0.1595,16500
ZA,AS5713,SAIX-NET,0.8527,0.2364,8747
KE,AS5713,SAIX-NET,0.8561,0.9394,132
ZA,AS5734,TIENET,0,0,10
ZA,AS61092,SA123NET,0.0267,0.0467,150
ZA,AS61138,ZAPPIE-HOST-AS Zappie Host,0,0,2
EG,AS6127,IDSC,0,0,21
ZA,AS61317,ASDETUK httpwww.host1plus.com,0.0255,0.0102,196
ZA,AS61440,Digital Energy Technologies Chile SpA,0,0,5
MU,AS65510,-Private Use AS-,0.14%,0.0427,2083
MA,AS6713,IAM-AS,0.0187,0.0373,556849
EG,AS6879,ENSTINET-,0.159,0.3569,283
ZA,AS6968,ZACR,0,0,1
ZA,AS7020,QDATA-AS,0.1608,0.7273,143
ZA,AS7154,FDDNET-ASN,0,0,10
ZM,AS7420,ZAMNET-AS,0.1097,0.2968,155
ZA,AS8094,PUKNET,0.0376,0.0395,532
RE,AS8228,CEGETEL-AS,0.0182,0.0217,2534
YT,AS8228,CEGETEL-AS,0.0164,0.0176,8
SN,AS8346,SONATEL-AS Autonomous System,0.0218,0.042,132467
CD,AS8452,TE-AS TE-AS,0,0,4
EG,AS8452,TE-AS TE-AS,0.6352,0.755,370706
NG,AS8452,TE-AS TE-AS,0.0635,0.0952,63
EG,AS8524,eg-auc,0.0341,0.0483,352
EG,AS9009,M247,0,0,23
MA,AS9009,M247,0,0,1
KE,AS9129,KE-NET2000,0.2196,0.6905,378
