cc,ASN,AS Name,DNSSEC Validates,Uses Google PDNS,Samples
UG,AS327727,C-SQUARED,0,0,5
TZ,AS327728,CTV,0,0,21
TZ,AS327730,PPF,0,0,3
SO,AS327732,DALKOM-SOMALIA,0,0,
ZA,AS327733,SAICOM,0.5606,0.6515,66
ZA,AS327737,CSBT,0,0,20
CD,AS327738,AFRICELL-DRC,0.9498,0.992,3863
CM,AS327741,INFOGENIE-AS,0,0,25
SO,AS327742,SOMALI-WIRELESS,0.3093,0.5868,1694
ZA,AS327745,WIFIBRE,0,0,44
CI,AS327746,NSIA,0.6527,0.749,239
ZA,AS327749,Digi-Outsource,0,0,1
ZA,AS327750,JENNY-INTERNET,0.0729,0.1949,590
ZA,AS327751,LANDYNAMIX,0,0,36
ZA,AS327754,RMS-Powertronics,0.1652,0.2232,224
BW,AS327757,ICT-DYNAMIX,0.9346,0.9907,107
MZ,AS327759,SGS-MCNET,0,0,1
BW,AS327760,ELECTRO-METIC,0.5432,0.8272,81
ZA,AS327761,Access-Point-Technologies,0.9634,0.5,82
NG,AS327763,Bowen-University,0.02,0.62,50
SO,AS327764,SomaliREN,0.5872,0.9725,109
SZ,AS327765,SwaziMTN-Ltd,0.0177,0.0843,"1,75"
KE,AS327766,TECHPITCH-LTDKENYA,0,0,13
ZA,AS327767,ULTIMATE-LINUX,0,0,8
SO,AS327768,SOMCAST-NETWORKS,0.2705,0.6922,2248
GW,AS327769,MTN-Bissau,0.0164,0.0844,3295
ZW,AS327770,Telecel,0.006,0.0098,1324
TZ,AS327771,MILAN-CABLE,0.1321,0.7925,53
ZA,AS327772,FULLOUTPUT-1086cc,0,0,5
CI,AS327773,WEBB-FONTAINE,0.7037,0,54
TZ,AS327774,TANZANIA-POSTAL-BANK,0,0,4
BW,AS327776,Stature-PTY-LTD,0.0712,0.1269,1348
ZA,AS327777,LIQUIDCLOUD,0,0,21
ZA,AS327781,VANGIBUZZ,0.1757,0.1959,296
ZA,AS327782,METROFIBRE-NETWORX,0.8289,0.4502,1204
UG,AS327783,SMILE-COMMUNICATION,0.2763,0.9805,257
NG,AS327784,FIDELITY-BANK,0.0109,0.3443,183
SS,AS327786,TELECOM-4G,0.2402,0.6592,179
ZA,AS327787,AMPATH,0,0,17
ZA,AS327791,Centracom,0,0,33
TZ,AS327792,CSS-net,0.1235,0.9882,170
KE,AS327793,WORLD-VISION,0,0,9
ZA,AS327794,CLEAR-ACCESS,0.3202,0.2895,228
TZ,AS327795,Tanzania-e-Government-Agency,0.1506,0.4531,704
BI,AS327798,SETIC-BERNET,0,0,22
BI,AS327799,VIETTEL-BURUNDI,0.0197,0.1298,9829
NG,AS327803,COSCHARIS-TECHNOLOGIES,0.0261,0.291,268
ZA,AS327804,TRUSC,0.9786,0.1111,234
ZA,AS327805,Bundu-NetworX,0.3279,0.8689,61
AO,AS327806,CNTI-AS,0,0,6
ZA,AS327808,Tesuco-Telecommunications,0.7417,0.9833,120
SN,AS327809,ARC-Informatique,0.1053,0.2982,57
ZA,AS327811,COMAIR,0,0,10
ZA,AS327812,Metacom,0,0,10
ZA,AS327813,Web4Africa,0,0,2
NG,AS327813,Web4Africa,0,0.9697,99
GH,AS327814,Ecoband,0.2084,0.5732,806
ZA,AS327817,LADYSMITH-WIRELESS-SOLUTIONS,0.4364,0.0364,55
TZ,AS327819,AZAM-MEDIA,0.125,0.9625,240
CM,AS327820,SWECOM,0.8096,0.9073,1003
ZA,AS327822,Airpark-Beaufort-West,0,0,8
ZA,AS327824,Converged-Telecoms,0.2679,0.7143,56
ZA,AS327825,Neelana-Communications,0,0,4
ZA,AS327826,SAFRICOM,0.2565,0.5261,230
SO,AS327828,Somali-Optical-Networks,0.7098,0.8702,16317
CG,AS327829,SKYTIC-TELECOM,0.5431,0.7845,116
BW,AS327830,Concerotel-Botswana,0.046,0.9876,805
AO,AS327833,CENTRAL-8,0,0,25
ZA,AS327839,Woolworths,0,0,17
ZA,AS327840,BROADLINK,0,0,7
NG,AS327843,PAN-ATLANTIC-UNIVERSITY,0,0,15
TZ,AS327844,TISPA-TIX-MANAGEMENT,0,0,1
MU,AS327844,TISPA-TIX-MANAGEMENT,0,0,1
EG,AS327846,Wadi-Degla-Investments-WDI,0,0,23
GH,AS327848,HFC-Bank,0,0,25
ZA,AS327849,DIRECTEL-COMMUNICATIONS,0.9389,0.1145,262
ZA,AS327850,XON-SYSTEMS,0,0,6
ZA,AS327858,CloudConnect-Networks,0.3612,0.5017,299
TZ,AS327859,Capital-Technologies,0.8529,0.9559,68
CV,AS327862,NOSi,0.3901,0.4103,546
CD,AS327870,GBS-DRC,0,0,1
ZA,AS327872,IBITS-Internet,0.9596,0.1111,198
GA,AS327876,Societe-TLDC,0,0,7
CD,AS327879,AJYWA-TELECOM,0.9835,0.8678,121
ZA,AS327880,ShowMax,0,0,3
KE,AS327884,I-and-M-Bank,0,0,21
TZ,AS327885,Viettel-Tanzania,0.321,0.37,65313
GH,AS327886,Central-University-AS,0,0,12
TZ,AS327888,NMB-BANK,0,0,1
ZA,AS327889,WATCHTOWER-RSA,0,0,19
NG,AS327891,NANOCOM,0.1714,0.4571,140
ZA,AS327892,BETHNET-CC,0.2316,0.5474,95
ZA,AS327893,LEGENDS-CONNECT,0.8193,0.8554,83
ZA,AS327894,Desktop-Network-Solutions,0,0,9
NG,AS327895,MEGAFAST-NETWORKS,0.1493,0.7015,67
ZA,AS327897,ATEC-Systems,0.6607,0.1071,56
NG,AS327898,CBC-EMEA,0.0339,0.3644,236
TZ,AS327900,SIMPLYCONNECT-Simply-Computers,0.3656,0.9677,186
ZA,AS327901,NET1337,0.254,0.7071,693
SL,AS327903,MICG,0.4716,0.898,1480
KE,AS327906,EMBARQ,0,0,48
ZA,AS327907,Paw-Paw-Wireless,0,0,27
ZA,AS327909,iONLINE-ISP,0,0,22
ZA,AS327911,Syniq-Broadband,0,0,39
TZ,AS327912,National-Health-Insurance-Fund,0,0,10
MA,AS327917,DGSSI,0,0,8
MU,AS327919,MC-Vision,0,0,
CM,AS327920,AVS-TELECOM-SARL,0,0,
ZA,AS327922,Perlcom-iSPOT,0.944,0.984,125
NG,AS327924,EXCELSIMO-NETWORKS,0.5547,0.8047,128
KE,AS327927,Laborex-Kenya,0,0,1
GH,AS327928,ROYAL-BANK,0,0.0323,93
NG,AS327929,Center-Point-Technologies,0,0,21
DZ,AS327931,Optimum-Telecom-Algeria,0.0027,0.012,477374
AO,AS327932,CONNECTIS-DATA-ANGOLA,0.1472,0.7914,163
CD,AS327933,GROUPE-TELECOM-SPRL,0,0,8
ZA,AS327935,iSPACE,0,0,18
ZA,AS327936,KiboConnect,0.6374,0.6374,91
ZA,AS327939,CLAROTECH,0.0588,0.902,51
MW,AS327941,SIMBANET-MALAWI,0.5645,0.9512,799
NG,AS327942,LANDMARK-UNIVERSITY,0.4156,0.4286,77
ZA,AS327943,MEZOBYTE,0,0,21
KE,AS327945,ILRI,0.0411,0.1096,73
ZA,AS327946,MESH-TELECOM,0,0,30
GH,AS327947,KNUST-,0.8066,0.9818,274
ZA,AS327949,AS-HOLLARD,0,0,17
ZA,AS327950,AS-IZWI,0.4207,0.8897,145
NG,AS327952,AS-NATCOM,0.0209,0.134,25038
RE,AS327956,PARABOLE-REUNION,0.992,0.108,250
ZA,AS327957,WIPRO-KZN,0,0,24
ZA,AS327960,PC-MANIACS,0,0,12
ZA,AS327961,SPEER-MANAGEMENT-SERVICES,0,0,2
ZA,AS327962,PacketSky,0,0,30
GH,AS327965,ARB-APEX-BANK,0.0161,0.8548,62
ZA,AS327966,FJ-Wiese-CC,0.0167,0,60
ZW,AS327971,FBC-Holdings,0.9813,0.0562,267
KE,AS327972,Mawingu-Networks-Ltd,0.9219,0.9368,269
UG,AS327973,Face-Technologies,0,0,2
KE,AS327977,FAMILY-BANK,0,0,14
CD,AS327978,ISS,0,0,
ZA,AS327979,DIAMATRIX,0,0,2
NG,AS327981,Ekovolt-Telco,0,0,104
ZA,AS327982,Sithabile-Technology-Services,0,0,1
ZA,AS327983,Interworks-Wireless-Solutions,0,0,38
ZA,AS327984,Skyfi-Internet-Solutions,0.3343,0.2543,350
NG,AS327985,IDS-AFRICA,0.9848,1,66
NG,AS327986,GUTTI-GLOBAL-NETWORKS,0,0,17
ZA,AS327987,Webstorm,0.027,0.1351,111
SL,AS327990,AI-NETWORKS-LIMITED,0.8174,0.9304,115
ZA,AS327991,MEGASURF-WIRELESS-INTERNET,0.8369,0.9231,325
ZA,AS327996,ACCELERIT,0.0339,0.0169,118
ZA,AS327999,Nepic-LTD,0.8583,0.9439,374
ZA,AS328001,SATSOFT,0,0,85
CD,AS328003,STANDARD-TELECOM-CONGO,0.6316,1,57
ZM,AS328007,Zambia-National-Commercial-Bank,0,0,
ZA,AS328009,BEONLINE,0.0962,0.1538,52
ZA,AS328013,ISPAfrika,0.8643,0.3214,140
UG,AS328015,Sombha-Solutions,0.8571,0.4662,133
TZ,AS328017,TCRA-TZCERT,0,0,1
TZ,AS328018,National-Housing-Corporation,0,0,2
ZA,AS328020,Gardale-Solutions,0,0,4
TZ,AS328021,WIAFRICA,0.9048,0.619,147
ZA,AS328024,JACQCO-MANAGEMENT,0.22,0.02,50
ZM,AS328026,MOBILE-BROADBAND,0.9481,0.9734,3003
NG,AS328027,Sahara-Group,0,0,49
ZA,AS328030,THREE6FIVE,0,0,2
NG,AS328035,Zeta-Web-Nigeria-AS,0.4861,0.7345,1514
ZA,AS328036,WiFi-Technologies-AS,0.7727,0.7879,66
ZA,AS328038,Hitec-Sure-AS,0.7773,0.9913,229
ZA,AS328039,JSDAAV,0,0,24
BF,AS328040,Virtual-Technologies-Solutions-AS,0.9193,0.7267,161
ZA,AS328045,Multichoice-Support-Services-AS,0.0411,0.3699,73
AO,AS328046,Banco-Pungo-Andongo-AS,0,0,2
ZA,AS328049,Haupt-Online-AS,0,0,18
NG,AS328050,Intercellular-Nigeria-AS,0.3934,0.8361,61
ZA,AS328051,GO-Communications-Net-AS,0,0,48
EG,AS328052,Orascom-Construction-AS,0,0,144
NG,AS328053,Sterling-Bank-AS,0.9828,1,58
ZA,AS328057,DaD-Tactical-AS,0,0,35
ZA,AS328058,Brightwave-Tech-AS,0,0,12
NG,AS328060,Federal-Univ-Birnin-AS,0,0,4
KM,AS328061,TELCO-SA-AS,0.0366,0.97,1202
EG,AS328062,Audi-Bank-AS,0,0,1
ZA,AS328064,LCOM-AS,0.8454,0.9794,97
ZA,AS328065,Vast-Networks-AS,0,0,167
MA,AS328066,MEDASYS-AS,0,0,2
EG,AS328067,EGIT-Technology-AS,0,0,
ZA,AS328068,Beginning-2-End-AS,0.1552,0.2931,58
ZA,AS328074,KLIQ-ltd-AS,0.4902,0.8431,51
TZ,AS328075,Gadgetronix-Net,0.0675,0.4135,237
GH,AS328076,University-of-Mines-and-Technology,0.1809,0.9255,94
ZA,AS328077,Trinity-IT-Solutions-AS,0.82,0.84,50
CF,AS328079,TELECEL-CENTRAFRIQUE-AS,0,0,42
NG,AS328080,Inview-Tech-AS,0,0,13
ZA,AS328082,RiverBroadband-AS,0,0,7
ZA,AS328086,WiseTech-Global-AS,0,0,1
ZW,AS328088,NetOne-Cellular-AS,0.0058,0.1005,"11,9"
KE,AS328089,Kenya-Revenue-Authority-AS,0,0,6
BJ,AS328092,SUD-TELCOM-AS,0,0,
KE,AS328094,Nakumatt-Holdings-AS,0,0,2
UG,AS328096,TruIT-Uganda-AS,0,0,
TZ,AS328097,Auvionics-AS,0,0,1
BJ,AS328098,JENY-SAS-AS,0.4192,0.6932,427
ZA,AS328101,Petprops-AS,0,0,35
ZA,AS328106,UNIWISP-AS,0,0,13
AO,AS328111,IPWORLD-AS,0,0,13
ZA,AS328112,Linux-Based-Systems-Design-AS,0,0,48
CI,AS328115,Agro-West-Industries,0,0,1
UG,AS328118,East-Africa-Broadband-Services-AS,0.956,0.989,91
CI,AS328121,Atlantic-Future-Tech-AS,0,0,5
ZA,AS328125,FORBTECH-AS,0,0,3
NG,AS328128,Tehilah-Base-AS,0.4571,0.1429,140
ZA,AS328130,Kosh-Communication-AS,0.1314,0.0857,175
BJ,AS328133,ABC-Corporation-AS,0.7812,0.9062,64
TZ,AS328134,Mzuri-Tech-AS,0,0,1
ZA,AS328135,AVBOB-AS,0,0,12
LR,AS328136,K3-Telecom-AS,0.0395,0.049,836
ZA,AS328137,Web-Squad-Connect-AS,0,0,29
BJ,AS328138,UNIVERCELL-AS,0,0.0521,192
GM,AS328140,INSIST-NET-AS,0.0433,0.3607,854
SZ,AS328144,Touch-IT-AS,0.0549,0.1435,237
ZA,AS328145,Lyca-Digital-AS,0,0,3
