cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
BW,37711,SeaBreeze,0.4815,0.8765,81
MW,37712,Malswitch,0,0,22
NG,37714,BITFLUX,0.5579,0.8947,475
LY,39356,AVANTI-UK-AS,0.2817,0.4507,71
KE,39356,AVANTI-UK-AS,0,0,40
TZ,39356,AVANTI-UK-AS,0,0,7
NA,39356,AVANTI-UK-AS,0,0,6
ZA,39832,NO-OPERA,0.9714,0,140
ZA,40676,40676 - Psychz Networks,0.3293,0.2439,82
GH,41264,GOOGLE-IT-RO-ISP,0.9559,1,1248
MZ,42235,IDC-AS Intra Data Communication,0.1228,0.6875,464
CD,43076,LU-AS,0,0,7
ZA,43256,KIN-AS,0,0,1
CD,43256,KIN-AS,0.13,0.0448,223
ZA,44444,FORCEPOINT-CLOUD-AS,0.0154,0.2,65
ZA,4809,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network,0.1744,0.6228,281
ZA,49362,DSV,0,0,22
RE,49902,SRR-AS,0.0241,0.0312,4651
YT,49902,SRR-AS,0.084,0.0916,131
RE,51110,IDOMTECHNOLOGIES-AS,0.1455,0.6545,55
MU,51110,IDOMTECHNOLOGIES-AS,0,0,15
ZA,51964,ORANGE-BUSINESS-SERVICES-IPSN-ASN,0,0,16
EG,51964,ORANGE-BUSINESS-SERVICES-IPSN-ASN,0,0,1
MA,51964,ORANGE-BUSINESS-SERVICES-IPSN-ASN,0,0,1
ZA,53889,"MICFO - Micfo, LLC.",0,0,8
TN,5438,ATI-,0.8933,0.9166,93078
ZA,55933,CLOUDIE-AS-AP Cloudie Limited,0,0,1
ZW,56696,LIQUID-MPLS,0.0812,0.1595,16500
ZA,5713,SAIX-NET,0.8527,0.2364,8747
KE,5713,SAIX-NET,0.8561,0.9394,132
ZA,5734,TIENET,0,0,10
ZA,61092,SA123NET,0.0267,0.0467,150
ZA,61138,ZAPPIE-HOST-AS Zappie Host,0,0,2
EG,6127,IDSC,0,0,21
ZA,61317,DETUK httpwww.host1plus.com,0.0255,0.0102,196
ZA,61440,Digital Energy Technologies Chile SpA,0,0,5
MU,65510,-Private Use AS-,0.0014,0.0427,2083
MA,6713,IAM-AS,0.0187,0.0373,556849
EG,6879,ENSTINET-,0.159,0.3569,283
ZA,6968,ZACR,0,0,1
ZA,7020,QDATA-AS,0.1608,0.7273,143
ZA,7154,FDDNET-ASN,0,0,10
ZM,7420,ZAMNET-AS,0.1097,0.2968,155
ZA,8094,PUKNET,0.0376,0.0395,532
RE,8228,CEGETEL-AS,0.0182,0.0217,2534
YT,8228,CEGETEL-AS,0.0164,0.0176,8
SN,8346,SONATEL-AS Autonomous System,0.0218,0.042,132467
CD,8452,TE-AS TE-AS,0,0,4
EG,8452,TE-AS TE-AS,0.6352,0.755,370706
NG,8452,TE-AS TE-AS,0.0635,0.0952,63
EG,8524,eg-auc,0.0341,0.0483,352
EG,9009,M247,0,0,23
MA,9009,M247,0,0,1
KE,9129,KE-NET2000,0.2196,0.6905,378
