cc_dnssec,asn,name,dnssec_validates,uses_google_pdns,samples
ZA,29606,BORWOOD-UK-AS Borwood UK Network,0,0,23
GH,29614,GHANATEL-AS,0.9363,0.8763,204719
GH,29674,GSTA-AS,0.239,0.4472,615
ZA,29918,IMPOL-ASN,0.0116,0.4302,86
ZA,29975,VODACOM-,0.0034,0.0063,15800
LS,3,MIT-GATEWAYS - Massachusetts Institute of Technology,0,0,0
MZ,30619,TDM-AS,0.0716,0.192,1635
ZA,3067,DENINF-IPLAN,0.1552,0.3621,58
ZA,30844,LIQUID-AS,0.0286,0.1806,803
KE,30844,LIQUID-AS,0.3752,0.5119,4075
BW,30844,LIQUID-AS,0,0,46
ZM,30844,LIQUID-AS,0.1206,0.293,4369
MU,30844,LIQUID-AS,0.199,0.36,4955
ZW,30844,LIQUID-AS,0.0711,0.2999,8075
ZA,30969,ZOL-AS,0.0333,0.1153,720
ZW,30969,ZOL-AS,0.0592,0.1539,29212
TG,30982,CAFENET,0.6278,0.7742,3498
MA,30983,MARWAN-AS,0.4206,0.6018,1203
NG,30984,Metrong-AS,0,0,4
ML,30985,IKATELNET,0.013,0.0436,39674
GH,30986,SCANCOM,0.0304,0.0136,329943
ER,30987,ERITEL-AS,0.4519,0.8444,135
GH,30988,ISInternetSolutions,0.3899,0.7782,577
NG,30988,ISInternetSolutions,0.0831,0.4307,3334
DJ,30990,ADJIB-AS,0.8275,0.6628,16920
CM,30992,MTN-NS-CAMEROON,0.0117,0.0284,62637
EG,30993,Egypt-Centers,0.2902,0.5576,2509
KE,30994,Galileo-Kenya,0.0606,0.899,99
EG,30995,CIBEG-AS,0,0.0189,53
NG,30998,NAL-AS,0.2977,0.5838,2422
MU,30999,EMTEL-AS-AP,0.0139,0.0439,19917
EG,31065,MCIT,0.1985,0.6603,262
GA,31167,AXIONE-AS,0,0,48
EG,31619,CITYSTARS-AS,0.0164,0.0656,244
TZ,31810,AOTL-AS,0,0,9
ZW,31856,CABS,0.1157,0.2226,1478
MZ,31960,EMUNET,0.8087,0.7391,115
MZ,32017,SATCOM-MOZ,0.58,0.34,50
DZ,3208,ARN,0.3432,0.5079,1591
RE,3215,3215,0.0404,0.0439,9377
YT,3215,3215,0.0231,0.0247,1296
MU,3223,VOXILITY,0,0,2
ET,3223,VOXILITY,0,0,0
DZ,3223,VOXILITY,0,0,2
AO,3223,VOXILITY,0,0,6
SZ,32398,REALNET-ASN-1,0.2152,0.7975,79
ZA,32437,CYBERTEK-,0,0,39
ZA,32653,ENETWORKS,0.1731,0.3251,283
AO,32717,N-SNETANGOLA,0,0,45
UG,327687,RENU,0.2231,0.2465,1708
AO,327691,BPA,0,0,18
TZ,327692,SMILECOMMS,0.0925,0.0816,2011
ZA,327693,ECHO-SP,0.2936,0.6239,218
NA,327694,NAMPOWER,0,0,12
GH,327695,AITI,0,0,1
RE,327697,TELCO-OI-AS,0.9812,0.1164,1280
MZ,327700,MoRENet,0.5324,0.8635,293
NG,327705,FUTA,0.2949,0.7179,78
TZ,327706,Power-and-Network-Backup,0.9668,0.9793,241
RW,327707,AIRTEL-,0.9404,0.2164,10211
CD,327707,AIRTEL-,0.0517,0.0761,1682
DZ,327712,ATM,0.0323,0.3484,748481
TZ,327714,ComNet-,0.7176,0.9516,517
ZA,327715,XPRESSNET-AS,0.8057,0.5829,211
BW,327716,Microteck-AS,0.0854,0.1543,363
UG,327717,SureTelecom-UG-AS,0.5997,0.9457,737
BI,327720,LACELL-SU,0.013,0.0763,1311
ML,327722,COMSATES,0,0,2
NG,327723,First-Wave-Networks,0,0,8
UG,327724,NITA,0.684,0.455,1310
ZA,327726,Newtelco,0.2712,0.1864,59
UG,327727,C-SQUARED,0,0,5
TZ,327728,CTV,0,0,21
TZ,327730,PPF,0,0,3
SO,327732,DALKOM-SOMALIA,0,0,0
ZA,327733,SAICOM,0.5606,0.6515,66
ZA,327737,CSBT,0,0,20
CD,327738,AFRICELL-DRC,0.9498,0.992,3863
CM,327741,INFOGENIE-AS,0,0,25
SO,327742,SOMALI-WIRELESS,0.3093,0.5868,1694
ZA,327745,WIFIBRE,0,0,44
CI,327746,NSIA,0.6527,0.749,239
ZA,327749,Digi-Outsource,0,0,1
ZA,327750,JENNY-INTERNET,0.0729,0.1949,590
ZA,327751,LANDYNAMIX,0,0,36
ZA,327754,RMS-Powertronics,0.1652,0.2232,224
